Date,Rented Bike Count,Hour,Temperature(øC),Humidity(%),Visibility (10m),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
04/12/2017,379,11,-0.5,41,1799,0,0,Winter,No Holiday,Yes
04/12/2017,393,12,-0.3,38,1823,0,0,Winter,No Holiday,Yes
04/12/2017,391,13,0,30,1938,0,0,Winter,No Holiday,Yes
04/12/2017,338,14,0.1,27,2000,0,0,Winter,No Holiday,Yes
04/12/2017,341,15,-0.1,25,2000,0,0,Winter,No Holiday,Yes
04/12/2017,375,16,-0.2,23,2000,0,0,Winter,No Holiday,Yes
04/12/2017,515,17,-1.3,26,2000,0,0,Winter,No Holiday,Yes
04/12/2017,807,18,-2.1,29,2000,0,0,Winter,No Holiday,Yes
04/12/2017,568,19,-2.9,32,2000,0,0,Winter,No Holiday,Yes
04/12/2017,398,20,-3.6,38,2000,0,0,Winter,No Holiday,Yes
04/12/2017,397,21,-4.6,43,2000,0,0,Winter,No Holiday,Yes
04/12/2017,353,22,-5.3,45,2000,0,0,Winter,No Holiday,Yes
04/12/2017,248,23,-5.8,44,2000,0,0,Winter,No Holiday,Yes
05/12/2017,216,0,-6.1,42,2000,0,0,Winter,No Holiday,Yes
05/12/2017,198,1,-6.5,41,2000,0,0,Winter,No Holiday,Yes
05/12/2017,124,2,-6.8,41,2000,0,0,Winter,No Holiday,Yes
05/12/2017,62,3,-6.9,39,2000,0,0,Winter,No Holiday,Yes
05/12/2017,42,4,-7.2,34,2000,0,0,Winter,No Holiday,Yes
05/12/2017,82,5,-7.4,33,2000,0,0,Winter,No Holiday,Yes
05/12/2017,172,6,-7.4,34,2000,0,0,Winter,No Holiday,Yes
05/12/2017,381,7,-7.5,33,2000,0,0,Winter,No Holiday,Yes
05/12/2017,812,8,-8.1,36,2000,0,0,Winter,No Holiday,Yes
05/12/2017,462,9,-7.6,31,1974,0,0,Winter,No Holiday,Yes
05/12/2017,269,10,-5.5,26,1967,0,0,Winter,No Holiday,Yes
05/12/2017,334,11,-3.9,25,1959,0,0,Winter,No Holiday,Yes
05/12/2017,321,12,-2.3,25,1962,0,0,Winter,No Holiday,Yes
05/12/2017,325,13,-1.6,27,1955,0,0,Winter,No Holiday,Yes
05/12/2017,334,14,-1.1,28,2000,0,0,Winter,No Holiday,Yes
05/12/2017,353,15,-0.7,28,2000,0,0,Winter,No Holiday,Yes
05/12/2017,435,16,-0.5,30,2000,0,0,Winter,No Holiday,Yes
05/12/2017,529,17,-1.6,35,2000,0,0,Winter,No Holiday,Yes
05/12/2017,789,18,-2.6,40,2000,0,0,Winter,No Holiday,Yes
05/12/2017,597,19,-3.2,45,2000,0,0,Winter,No Holiday,Yes
05/12/2017,418,20,-3.5,46,2000,0,0,Winter,No Holiday,Yes
05/12/2017,415,21,-3.7,47,2000,0,0,Winter,No Holiday,Yes
05/12/2017,393,22,-2.8,49,2000,0,0,Winter,No Holiday,Yes
05/12/2017,244,23,-2.5,59,1210,0,0,Winter,No Holiday,Yes
06/12/2017,145,0,-2.8,77,331,0.1,0.1,Winter,No Holiday,Yes
06/12/2017,144,1,-3,79,293,0,0.3,Winter,No Holiday,Yes
06/12/2017,117,2,-3,79,1862,0,0.4,Winter,No Holiday,Yes
06/12/2017,78,3,-3.2,78,1808,0.2,0.4,Winter,No Holiday,Yes
06/12/2017,58,4,-3.4,75,1982,0,0.4,Winter,No Holiday,Yes
06/12/2017,87,5,-3.6,76,1934,0,0.4,Winter,No Holiday,Yes
06/12/2017,142,6,-3.7,76,1864,0,0.4,Winter,No Holiday,Yes
06/12/2017,379,7,-4.2,77,1741,0,0.3,Winter,No Holiday,Yes
06/12/2017,802,8,-4.2,78,1518,0,0.2,Winter,No Holiday,Yes
06/12/2017,440,9,-3.3,70,1324,0,0.2,Winter,No Holiday,Yes
06/12/2017,307,10,-0.9,64,1224,0,0.2,Winter,No Holiday,Yes
06/12/2017,381,11,1.6,57,1261,0,0,Winter,No Holiday,Yes
06/12/2017,405,12,2.4,52,1224,0,0,Winter,No Holiday,Yes
06/12/2017,442,13,4.2,47,1469,0,0,Winter,No Holiday,Yes
06/12/2017,416,14,5.5,34,1966,0,0,Winter,No Holiday,Yes
06/12/2017,412,15,5.5,31,1968,0,0,Winter,No Holiday,Yes
06/12/2017,496,16,5.3,37,2000,0,0,Winter,No Holiday,Yes
06/12/2017,239,17,4.1,60,1565,0,0,Winter,No Holiday,Yes
06/12/2017,204,18,1.7,90,66,0.3,0.3,Winter,No Holiday,Yes
06/12/2017,205,19,1.2,92,180,0,1,Winter,No Holiday,Yes
06/12/2017,190,20,1.2,94,228,0,1,Winter,No Holiday,Yes
06/12/2017,165,21,1.1,92,235,0.7,1,Winter,No Holiday,Yes
06/12/2017,222,22,1.3,92,233,0,1,Winter,No Holiday,Yes
06/12/2017,193,23,1.3,92,209,0,1,Winter,No Holiday,Yes
07/12/2017,198,0,1.4,92,240,0,0.9,Winter,No Holiday,Yes
07/12/2017,218,1,1.5,92,227,0,0.9,Winter,No Holiday,Yes
07/12/2017,149,2,1.4,92,168,0,0.9,Winter,No Holiday,Yes
07/12/2017,102,3,1.9,91,218,0,0.9,Winter,No Holiday,Yes
07/12/2017,62,4,1.6,92,119,0,0.9,Winter,No Holiday,Yes
07/12/2017,83,5,1.5,92,175,0,0.9,Winter,No Holiday,Yes
07/12/2017,137,6,1,93,148,0,0.9,Winter,No Holiday,Yes
07/12/2017,367,7,0.3,93,173,0,0.9,Winter,No Holiday,Yes
07/12/2017,754,8,-0.2,96,173,0,0.8,Winter,No Holiday,Yes
07/12/2017,415,9,0.1,91,265,0,0.8,Winter,No Holiday,Yes
07/12/2017,321,10,1.1,83,311,0,0.7,Winter,No Holiday,Yes
07/12/2017,333,11,2.3,69,628,0,0.6,Winter,No Holiday,Yes
07/12/2017,431,12,3.7,65,833,0,0.3,Winter,No Holiday,Yes
07/12/2017,394,13,4.1,37,1767,0,0,Winter,No Holiday,Yes
07/12/2017,390,14,4.4,36,1975,0,0,Winter,No Holiday,Yes
07/12/2017,430,15,4,35,1962,0,0,Winter,No Holiday,Yes
07/12/2017,471,16,3.2,38,1817,0,0,Winter,No Holiday,Yes
07/12/2017,552,17,2.1,50,1434,0,0,Winter,No Holiday,Yes
07/12/2017,795,18,0.7,46,1558,0,0,Winter,No Holiday,Yes
07/12/2017,507,19,-0.4,47,1269,0,0,Winter,No Holiday,Yes
07/12/2017,390,20,-1.4,47,1620,0,0,Winter,No Holiday,Yes
07/12/2017,402,21,-2.2,46,1975,0,0,Winter,No Holiday,Yes
07/12/2017,389,22,-2.7,48,1844,0,0,Winter,No Holiday,Yes
07/12/2017,259,23,-3.2,50,1887,0,0,Winter,No Holiday,Yes
08/12/2017,233,0,-3.5,49,1893,0,0,Winter,No Holiday,Yes
08/12/2017,230,1,-3.7,50,1902,0,0,Winter,No Holiday,Yes
08/12/2017,131,2,-4.3,53,1918,0,0,Winter,No Holiday,Yes
08/12/2017,99,3,-4.8,52,1978,0,0,Winter,No Holiday,Yes
08/12/2017,71,4,-5.3,53,1936,0,0,Winter,No Holiday,Yes
08/12/2017,84,5,-5.8,56,1941,0,0,Winter,No Holiday,Yes
08/12/2017,158,6,-6,56,1853,0,0,Winter,No Holiday,Yes
08/12/2017,387,7,-6.5,57,1776,0,0,Winter,No Holiday,Yes
08/12/2017,780,8,-7,59,1559,0,0,Winter,No Holiday,Yes
08/12/2017,395,9,-6.7,50,1492,0,0,Winter,No Holiday,Yes
08/12/2017,261,10,-5.3,44,1516,0,0,Winter,No Holiday,Yes
08/12/2017,310,11,-3.7,39,1595,0,0,Winter,No Holiday,Yes
08/12/2017,355,12,-2,30,1728,0,0,Winter,No Holiday,Yes
08/12/2017,354,13,-1.7,28,1963,0,0,Winter,No Holiday,Yes
08/12/2017,350,14,-1.3,27,1906,0,0,Winter,No Holiday,Yes
08/12/2017,362,15,-0.8,26,1977,0,0,Winter,No Holiday,Yes
08/12/2017,401,16,-1.1,24,2000,0,0,Winter,No Holiday,Yes
08/12/2017,500,17,-2.4,30,2000,0,0,Winter,No Holiday,Yes
08/12/2017,752,18,-3.1,33,2000,0,0,Winter,No Holiday,Yes
08/12/2017,477,19,-3.3,35,2000,0,0,Winter,No Holiday,Yes
08/12/2017,384,20,-3.3,34,2000,0,0,Winter,No Holiday,Yes
08/12/2017,336,21,-3.3,35,2000,0,0,Winter,No Holiday,Yes
08/12/2017,347,22,-3.4,39,2000,0,0,Winter,No Holiday,Yes
08/12/2017,275,23,-3.5,43,2000,0,0,Winter,No Holiday,Yes
09/12/2017,267,0,-3.5,48,1967,0,0,Winter,No Holiday,Yes
09/12/2017,296,1,-4.1,49,2000,0,0,Winter,No Holiday,Yes
09/12/2017,237,2,-4.7,50,1983,0,0,Winter,No Holiday,Yes
09/12/2017,169,3,-4.3,47,1992,0,0,Winter,No Holiday,Yes
09/12/2017,96,4,-4.3,49,2000,0,0,Winter,No Holiday,Yes
09/12/2017,56,5,-4.7,49,1999,0,0,Winter,No Holiday,Yes
09/12/2017,76,6,-5.1,53,1975,0,0,Winter,No Holiday,Yes
09/12/2017,127,7,-5.5,56,1950,0,0,Winter,No Holiday,Yes
09/12/2017,222,8,-5.4,56,1940,0,0,Winter,No Holiday,Yes
09/12/2017,291,9,-4.7,48,1784,0,0,Winter,No Holiday,Yes
09/12/2017,273,10,-2.2,42,1646,0,0,Winter,No Holiday,Yes
09/12/2017,351,11,0,45,1500,0,0,Winter,No Holiday,Yes
09/12/2017,427,12,2.4,40,1809,0,0,Winter,No Holiday,Yes
09/12/2017,431,13,3.9,36,1702,0,0,Winter,No Holiday,Yes
09/12/2017,486,14,4.7,32,1948,0,0,Winter,No Holiday,Yes
09/12/2017,569,15,5.2,30,1963,0,0,Winter,No Holiday,Yes
09/12/2017,546,16,4.4,33,1963,0,0,Winter,No Holiday,Yes
09/12/2017,481,17,3.5,37,1963,0,0,Winter,No Holiday,Yes
09/12/2017,384,18,2.5,41,1974,0,0,Winter,No Holiday,Yes
09/12/2017,275,19,1.5,48,1878,0,0,Winter,No Holiday,Yes
09/12/2017,298,20,0.8,51,1848,0,0,Winter,No Holiday,Yes
09/12/2017,321,21,-0.1,55,1654,0,0,Winter,No Holiday,Yes
09/12/2017,289,22,-0.5,55,1655,0,0,Winter,No Holiday,Yes
09/12/2017,265,23,-0.1,54,1570,0,0,Winter,No Holiday,Yes
10/12/2017,326,0,-0.2,55,1629,0,0,Winter,No Holiday,Yes
10/12/2017,280,1,-0.2,54,1747,0,0,Winter,No Holiday,Yes
10/12/2017,243,2,0.2,52,1726,0,0,Winter,No Holiday,Yes
10/12/2017,169,3,0.3,53,1748,0,0,Winter,No Holiday,Yes
10/12/2017,71,4,0.4,52,1816,0,0,Winter,No Holiday,Yes
10/12/2017,13,5,0.3,74,178,0,0.7,Winter,No Holiday,Yes
10/12/2017,9,6,-0.5,90,91,2.5,2.7,Winter,No Holiday,Yes
10/12/2017,20,7,-0.4,92,121,0,4,Winter,No Holiday,Yes
10/12/2017,35,8,-0.2,90,378,0,4.1,Winter,No Holiday,Yes
10/12/2017,31,9,0.2,90,305,1.6,4.3,Winter,No Holiday,Yes
10/12/2017,19,10,0.5,91,143,0,4.3,Winter,No Holiday,Yes
10/12/2017,58,11,0.9,92,137,0,3.9,Winter,No Holiday,Yes
10/12/2017,119,12,2.3,88,245,0,3.1,Winter,No Holiday,Yes
10/12/2017,182,13,3.3,87,230,0,2.1,Winter,No Holiday,Yes
10/12/2017,235,14,4.2,85,325,0,1.4,Winter,No Holiday,Yes
10/12/2017,180,15,6.7,63,715,0,1,Winter,No Holiday,Yes
10/12/2017,214,16,5.4,71,622,0,0.5,Winter,No Holiday,Yes
10/12/2017,226,17,3.6,65,1061,0,0.4,Winter,No Holiday,Yes
10/12/2017,210,18,2,61,2000,0,0,Winter,No Holiday,Yes
10/12/2017,181,19,1.6,53,2000,0,0,Winter,No Holiday,Yes
10/12/2017,165,20,0.6,57,1954,0,0,Winter,No Holiday,Yes
10/12/2017,167,21,0,59,1862,0,0,Winter,No Holiday,Yes
10/12/2017,152,22,-1,56,2000,0,0,Winter,No Holiday,Yes
10/12/2017,148,23,-1.4,43,2000,0,0,Winter,No Holiday,Yes
11/12/2017,125,0,-2.5,39,2000,0,0,Winter,No Holiday,Yes
11/12/2017,111,1,-3.4,36,2000,0,0,Winter,No Holiday,Yes
11/12/2017,67,2,-4.2,35,2000,0,0,Winter,No Holiday,Yes
11/12/2017,45,3,-4.7,38,2000,0,0,Winter,No Holiday,Yes
11/12/2017,44,4,-5.2,35,2000,0,0,Winter,No Holiday,Yes
11/12/2017,86,5,-5.6,38,1974,0,0,Winter,No Holiday,Yes
11/12/2017,136,6,-5.9,39,1979,0,0,Winter,No Holiday,Yes
11/12/2017,325,7,-6,39,1996,0,0,Winter,No Holiday,Yes
11/12/2017,653,8,-6,38,1994,0,0,Winter,No Holiday,Yes
11/12/2017,326,9,-5.9,36,1941,0,0,Winter,No Holiday,Yes
11/12/2017,212,10,-5.3,32,2000,0,0,Winter,No Holiday,Yes
11/12/2017,226,11,-4.7,36,2000,0,0,Winter,No Holiday,Yes
11/12/2017,247,12,-5.2,33,1973,0,0,Winter,No Holiday,Yes
11/12/2017,241,13,-5.4,32,1986,0,0,Winter,No Holiday,Yes
11/12/2017,253,14,-5.4,31,1945,0,0,Winter,No Holiday,Yes
11/12/2017,269,15,-5.5,33,2000,0,0,Winter,No Holiday,Yes
11/12/2017,277,16,-6,40,2000,0,0,Winter,No Holiday,Yes
11/12/2017,361,17,-7.1,44,2000,0,0,Winter,No Holiday,Yes
11/12/2017,557,18,-7.9,43,2000,0,0,Winter,No Holiday,Yes
11/12/2017,371,19,-8.6,45,2000,0,0,Winter,No Holiday,Yes
11/12/2017,254,20,-9.3,49,2000,0,0,Winter,No Holiday,Yes
11/12/2017,266,21,-9.7,51,2000,0,0,Winter,No Holiday,Yes
11/12/2017,222,22,-10.2,50,2000,0,0,Winter,No Holiday,Yes
11/12/2017,174,23,-10.7,53,2000,0,0,Winter,No Holiday,Yes
12/12/2017,133,0,-11,51,2000,0,0,Winter,No Holiday,Yes
12/12/2017,127,1,-11.2,51,2000,0,0,Winter,No Holiday,Yes
12/12/2017,95,2,-11.5,50,2000,0,0,Winter,No Holiday,Yes
12/12/2017,54,3,-11.6,50,1995,0,0,Winter,No Holiday,Yes
12/12/2017,46,4,-11.6,47,1982,0,0,Winter,No Holiday,Yes
12/12/2017,65,5,-11.6,45,1951,0,0,Winter,No Holiday,Yes
12/12/2017,104,6,-11.8,47,1973,0,0,Winter,No Holiday,Yes
12/12/2017,280,7,-12.1,50,1929,0,0,Winter,No Holiday,Yes
12/12/2017,580,8,-12.3,52,1914,0,0,Winter,No Holiday,Yes
12/12/2017,275,9,-11.8,46,1956,0,0,Winter,No Holiday,Yes
12/12/2017,184,10,-10.5,45,1855,0,0,Winter,No Holiday,Yes
12/12/2017,201,11,-9.4,42,1815,0,0,Winter,No Holiday,Yes
12/12/2017,228,12,-8.3,35,1967,0,0,Winter,No Holiday,Yes
12/12/2017,225,13,-6.9,37,1955,0,0,Winter,No Holiday,Yes
12/12/2017,258,14,-5.4,32,1930,0,0,Winter,No Holiday,Yes
12/12/2017,250,15,-5.8,30,2000,0,0,Winter,No Holiday,Yes
12/12/2017,248,16,-6,29,1983,0,0,Winter,No Holiday,Yes
12/12/2017,305,17,-7,32,2000,0,0,Winter,No Holiday,Yes
12/12/2017,529,18,-7.7,36,2000,0,0,Winter,No Holiday,Yes
12/12/2017,350,19,-8.2,43,2000,0,0,Winter,No Holiday,Yes
12/12/2017,260,20,-8.4,42,2000,0,0,Winter,No Holiday,Yes
12/12/2017,270,21,-8.8,43,1999,0,0,Winter,No Holiday,Yes
12/12/2017,256,22,-9,45,1999,0,0,Winter,No Holiday,Yes
12/12/2017,173,23,-9.3,47,2000,0,0,Winter,No Holiday,Yes
13/12/2017,168,0,-9.5,48,1996,0,0,Winter,No Holiday,Yes
13/12/2017,183,1,-10.2,52,1997,0,0,Winter,No Holiday,Yes
13/12/2017,120,2,-10.4,53,1949,0,0,Winter,No Holiday,Yes
13/12/2017,79,3,-10.9,55,1913,0,0,Winter,No Holiday,Yes
13/12/2017,41,4,-11.4,58,1907,0,0,Winter,No Holiday,Yes
13/12/2017,68,5,-11.5,58,1923,0,0,Winter,No Holiday,Yes
13/12/2017,109,6,-11.9,57,1974,0,0,Winter,No Holiday,Yes
13/12/2017,310,7,-11.7,53,1998,0,0,Winter,No Holiday,Yes
13/12/2017,591,8,-11.4,47,2000,0,0,Winter,No Holiday,Yes
13/12/2017,340,9,-11.1,46,1981,0,0,Winter,No Holiday,Yes
13/12/2017,202,10,-9.5,39,1875,0,0,Winter,No Holiday,Yes
13/12/2017,251,11,-8.1,35,1806,0,0,Winter,No Holiday,Yes
13/12/2017,267,12,-6.5,30,1945,0,0,Winter,No Holiday,Yes
13/12/2017,251,13,-5.8,28,1887,0,0,Winter,No Holiday,Yes
13/12/2017,240,14,-4.7,27,1883,0,0,Winter,No Holiday,Yes
13/12/2017,240,15,-4.9,26,1887,0,0,Winter,No Holiday,Yes
13/12/2017,278,16,-4.5,26,2000,0,0,Winter,No Holiday,Yes
13/12/2017,392,17,-5.6,29,2000,0,0,Winter,No Holiday,Yes
13/12/2017,537,18,-6.6,33,2000,0,0,Winter,No Holiday,Yes
13/12/2017,373,19,-6.6,31,2000,0,0,Winter,No Holiday,Yes
13/12/2017,263,20,-7.6,35,2000,0,0,Winter,No Holiday,Yes
13/12/2017,271,21,-8.3,39,2000,0,0,Winter,No Holiday,Yes
13/12/2017,271,22,-8.9,39,2000,0,0,Winter,No Holiday,Yes
13/12/2017,174,23,-9.2,44,1978,0,0,Winter,No Holiday,Yes
14/12/2017,171,0,-9.5,50,1953,0,0,Winter,No Holiday,Yes
14/12/2017,170,1,-9.8,48,2000,0,0,Winter,No Holiday,Yes
14/12/2017,107,2,-10.6,44,1903,0,0,Winter,No Holiday,Yes
14/12/2017,80,3,-10.7,48,1651,0,0,Winter,No Holiday,Yes
14/12/2017,52,4,-11,50,1718,0,0,Winter,No Holiday,Yes
14/12/2017,62,5,-10.8,48,1648,0,0,Winter,No Holiday,Yes
14/12/2017,108,6,-11,55,1541,0,0,Winter,No Holiday,Yes
14/12/2017,279,7,-10.9,57,1387,0,0,Winter,No Holiday,Yes
14/12/2017,621,8,-10.4,54,1432,0,0,Winter,No Holiday,Yes
14/12/2017,305,9,-9.4,44,1680,0,0,Winter,No Holiday,Yes
14/12/2017,189,10,-7.7,43,1555,0,0,Winter,No Holiday,Yes
14/12/2017,247,11,-6.1,38,1587,0,0,Winter,No Holiday,Yes
14/12/2017,278,12,-4.9,34,1768,0,0,Winter,No Holiday,Yes
14/12/2017,282,13,-3.8,32,1827,0,0,Winter,No Holiday,Yes
14/12/2017,294,14,-2.7,28,1857,0,0,Winter,No Holiday,Yes
14/12/2017,301,15,-2.5,29,1667,0,0,Winter,No Holiday,Yes
14/12/2017,335,16,-2.4,28,1878,0,0,Winter,No Holiday,Yes
14/12/2017,382,17,-2.9,31,1723,0,0,Winter,No Holiday,Yes
14/12/2017,612,18,-3.5,35,1414,0,0,Winter,No Holiday,Yes
14/12/2017,410,19,-4.2,40,1216,0,0,Winter,No Holiday,Yes
14/12/2017,277,20,-4.8,43,1397,0,0,Winter,No Holiday,Yes
14/12/2017,316,21,-4.8,45,1351,0,0,Winter,No Holiday,Yes
14/12/2017,309,22,-4.9,44,1369,0,0,Winter,No Holiday,Yes
14/12/2017,211,23,-5.6,53,1290,0,0,Winter,No Holiday,Yes
15/12/2017,227,0,-5.7,53,1262,0,0,Winter,No Holiday,Yes
15/12/2017,241,1,-6.3,57,1148,0,0,Winter,No Holiday,Yes
15/12/2017,162,2,-6.8,58,1089,0,0,Winter,No Holiday,Yes
15/12/2017,110,3,-6.9,56,1111,0,0,Winter,No Holiday,Yes
15/12/2017,69,4,-7.1,59,1058,0,0,Winter,No Holiday,Yes
15/12/2017,68,5,-7.5,64,989,0,0,Winter,No Holiday,Yes
15/12/2017,129,6,-7.4,64,906,0,0,Winter,No Holiday,Yes
15/12/2017,285,7,-7,63,865,0,0,Winter,No Holiday,Yes
15/12/2017,658,8,-6.6,64,791,0,0,Winter,No Holiday,Yes
15/12/2017,330,9,-5.9,60,691,0,0,Winter,No Holiday,Yes
15/12/2017,221,10,-4.6,52,648,0,0,Winter,No Holiday,Yes
15/12/2017,279,11,-2.9,46,809,0,0,Winter,No Holiday,Yes
15/12/2017,309,12,-2.5,43,895,0,0,Winter,No Holiday,Yes
15/12/2017,325,13,-1.6,40,868,0,0,Winter,No Holiday,Yes
15/12/2017,329,14,-0.7,39,826,0,0,Winter,No Holiday,Yes
15/12/2017,342,15,0.1,35,946,0,0,Winter,No Holiday,Yes
15/12/2017,354,16,0,37,994,0,0,Winter,No Holiday,Yes
15/12/2017,464,17,-0.2,39,1016,0,0,Winter,No Holiday,Yes
15/12/2017,682,18,0.1,43,1485,0,0,Winter,No Holiday,Yes
15/12/2017,451,19,0.6,41,1550,0,0,Winter,No Holiday,Yes
15/12/2017,320,20,0.9,42,1113,0,0,Winter,No Holiday,Yes
15/12/2017,300,21,0.7,47,1283,0,0,Winter,No Holiday,Yes
15/12/2017,296,22,-0.1,49,870,0,0,Winter,No Holiday,Yes
